bugID,Description,note,state
001,tables_deposits_and_withdrawals.csv.csv, fixed
002,tables_pertfolio_value.csv, fixed
003,import csv Unmamed 0 column,index_col=0, fixed
004, some In base column signs oposite, fixed
005, some in base column items missing, fixed
006, production crashed when does not exist, fixed
007, production crashed wrong tables directory name, fixed
008, producion crashes when processing new trades, fixed
